Consumption of Alcohol,P_MHD,DAUD,PDD,PAD,PADHD,DMSUD,PBD,ghs,media integrity,military expenditure,HDI,Adjusted net national income per capita,Current health expenditure,Current health expenditure per capita,Out-of-pocket expenditure,Unemployment,School enrollment primary,School enrollment secondary,School enrollment tertiary,LFE,rate-total
5.94,2902961.247,1.6033677551238732,770605.774083,732360.605814,400478.907168,0.0007102216691330268,128595.68243699998,,0.438,0.0311,0.565,2043.224671,2.60579467,108.5829392,33.52316666,7.282000065,113.4779587,,8.400939941,63.3,0.89241557
0.11,1930121.078,1.419174327149331,346185.612061,387668.5471030001,251317.0978166,0.00011880300003417405,74907.40158969999,0.111,0.647,0.0117,0.319,423.2822967,6.86888981,23.85829926,55.88914108,0.583999991,62.70835876,13.04246998,1.3726400140000001,59.1,0.33605025899999996
8.29,155548.2996,2.622494229462571,43466.9516259,38613.1520137,19354.7337621,0.0013299242045872151,7215.90274314,0.0452,0.575,0.0178,0.632,1750.03047,3.33045912,137.2801514,54.06825638,17.31200027,140.881958,53.08600998,,59.0,0.9274985259999999
7.61,5978139.017000001,1.7354804181397443,1457172.22457,2463594.21731,622215.9425570001,0.0008686451277613544,306070.477692,,0.735,0.007640000000000002,0.823,6936.958171,9.41819859,1208.391602,26.89295959,7.179999828,115.61473079999999,101.5350037,76.29740143,75.9,1.5200943630000001
3.75,503698.9271,1.958968996418432,122672.366766,126402.938525,42494.6724868,0.000352159367194731,37118.7764524,0.29,0.818,0.0,0.754,6274.425677,8.11340141,660.5864257999998,25.38431358,7.171000004,116.89936829999999,101.07974240000001,,79.4,1.8709436640000001
0.73,644083.7045,3.7652441703318935,151934.683787,179152.517483,89178.38507719999,0.00043050299447006536,29496.2480829,,0.0193,,0.436,..,4.05145597,31.86192322,51.93421936,5.381999969,79.85054779,58.9507103,3.850049973,61.0,1.259895999
,8110223.017000001,0.7459048855912521,2585105.78405,2557597.2483900003,456376.35796800005,0.00860748319378123,618558.238963,,0.8370000000000001,0.0346,0.8009999999999999,16307.74377,,,,9.777000427,104.1715927,91.07829285,33.23070145,76.3,0.947593135
9.79,3929328.69,1.7926868384654204,1070499.8393700002,1436700.68072,445366.754736,0.014210965819780009,252452.390792,,0.843,0.0208,0.935,48104.18296,9.20071316,4971.614746,18.33780098,5.7100000379999996,100.74440770000001,153.0131989,120.9657135,82.5,1.83377121
8.44,775708.9605,6.8736251489731846,281437.04764,197141.013522,58218.715604,0.02297514384070653,54306.62415880001,,0.805,0.0143,0.922,41063.36615,9.37796021,4107.0629880000015,19.27291298,8.81799984,100.4188385,152.1628571,86.97852325,81.5,1.585775434
,1007564.185,3.4665490200534923,257323.671889,257708.759755,96296.4388893,0.0038046659687526146,71718.36685060001,,0.29100000000000004,0.0369,0.7490000000000001,5987.526544,4.03655434,156.9957275,70.67050171,5.0,106.4317398,,25.92642021,70.6,0.582371942
0.15,633942.0029,0.3854012300072701,139807.371159,208359.018666,61148.0062135,0.0011067094546872124,33258.8372819,0.119,0.482,0.0628,0.696,1304.983199,,,,13.73499966,93.88433838,82.41570282,,72.4,1.0629148659999998
0.86,70809.48378,0.9935274450014552,17973.7991459,22173.878695,6558.00188395,0.0008054994204330461,4129.1268145,,0.136,,0.78,10903.03949,,,,2.898000002,91.00707245,91.00756836,20.14855957,71.8,2.862227204
0.86,622012.8519,2.203278914325648,130319.825761,134022.09045,80517.1290712,0.0002656912233748453,26888.5839811,0.069,0.438,,0.428,259.6626969,3.44982672,11.27595139,72.38422394,4.524000168,120.33631129999999,39.21268845,,56.8,0.688289646
0.53,319299.2421,0.3527722411727873,71051.4511723,107260.659946,31914.545536620004,0.0002612706648949824,17627.143757700003,0.07,0.122,0.0928,0.725,4512.883523,3.18044019,274.3796082,10.14918995,5.472000122000001,92.71775818,84.2195816,,73.7,0.965965684
0.33,117881.6571,2.313720715453169,31702.221034099995,35978.4265912,16181.72343402,0.0004652404459157462,6584.88424598,,,,0.489,2231.372975,2.72740006,76.86833954,23.17865562,10.51000023,69.38295746,48.11304855,,66.9,0.9528665359999999
4.25,1617395.458,3.0315177387253165,437743.799724,552298.832171,221251.07483589998,0.0036604237673784072,112799.349254,0.132,0.136,,0.778,4025.032448,11.31422806,612.2435912999998,8.83751297,1.582999945,99.38471985,94.94477081,117.10080719999999,78.3,1.86205994
0.52,656418.2489,0.3653946340903782,146368.904127,218358.431028,63191.15155839999,0.0009970095872370226,34864.8764019,0.109,0.483,0.0589,0.708,1418.885443,9.88527393,170.0458069,38.47376633,14.69999981,,,,73.1,1.0441830429999999
1.87,592824.895,2.234703625578625,143494.618635,129438.068553,69097.12038559999,0.00036035653961420265,22628.0203851,0.0845,0.613,0.026,0.355,422.6169375,3.65146255,17.81714249,60.44795609,3.9270000460000003,87.33161163,,2.671149969,48.0,0.666218668
0.02,382146.3016,1.4025989985213807,66718.3707861,79874.51820830001,47248.0247613,0.00035251283432185247,16729.7472081,0.0856,0.66,,0.479,835.6386593,3.72460938,39.03982544,65.29379272,9.449000359,97.59924316,,3.7265200610000004,66.9,0.590892406
0.6,73556.6858,2.6416438035240337,11878.0902235,14598.8811804,7786.91311967,0.00034225981216979667,2567.68063514,,,0.0676,,..,,,,10.5,34.09204865,10.26506996,0.09459000099999999,58.7,0.5424205870000001
2.08,407666.8754,0.18332505675096528,158917.29704,142853.728814,24839.00179904,0.0005742281298225569,29872.3847463,0.0823,0.314,0.0521,0.807,23628.48393,,,,4.849999905,,,,79.0,3.18418736
,10358.93184,0.7389028716630358,2436.94665577,3020.43842217,1008.771344803,0.0023169364995098245,409.498179892,0.142,,,0.674,1727.244723,4.47306395,110.7025452,12.43517017,3.4820001130000002,111.55802150000001,104.6383286,,70.7,0.849135748
8.13,614012.5491,0.7459058605100602,145710.421522,303795.527712,57217.36156000001,0.0008347121459288152,41342.2655602,0.145,0.826,0.017,0.8640000000000001,14601.66451,,,,7.717999935,101.8013992,112.5569687,,77.8,2.064712431
0.97,71868.66932999999,1.6760012656544752,18419.6944786,22654.2074596,3495.3836005020007,0.00048487783911485663,3573.99784071,0.103,,,,760.1039669,4.46532822,46.90710449,16.25363731,2.49000001,87.92790222,,,68.8,0.914817254
0.39,5529013.397000001,0.3694724094022323,1871572.47914,1713538.92729,402739.862619,0.00031633733009692113,270069.576533,,0.605,0.0323,0.66,2730.990599,5.07174492,148.03874209999995,55.60689545,9.460000037999999,109.5239716,,28.40354919,73.5,1.2052803970000001
1.52,1378143.431,4.713889713934112,286568.007039,451240.262679,176169.7367144,0.0003141756820351329,93071.3017805,0.104,0.647,0.021,0.667,1805.943918,,,,4.771999836,113.15484620000001,,18.53631973,73.8,1.421802327
,9102541.793,2.7037326978320606,2871254.8314400013,2931415.94976,482920.516486,0.02018866698129464,695070.868625,,0.8370000000000001,0.0186,0.9159999999999999,36035.21909,9.90435219,4472.521484000001,15.096113199999998,5.301000118,101.92527009999999,124.52400209999999,56.45848846,81.0,0.952645458
1.64,1687497.6090000004,11.290549158000456,437663.833122,434316.650204,170559.7998505,0.0012153460714874095,113447.840678,,0.69,0.00396,0.647,2930.245739,5.85707808,229.80619810000002,55.72278595,2.5060000419999997,101.5126877,54.1973381,21.78329086,72.9,0.992545187
0.2,4078473.472,0.2955303692025651,1127548.82723,1588913.2344,221973.634635,0.0002745996204910289,217493.029772,,0.647,0.019,0.662,3728.429448,2.69039416,183.9160767,61.73806763,7.965000152999999,,,,75.3,1.23873465
1.33,92947.3559,2.5326119410662136,17765.808366900004,21161.7442344,10684.47136303,0.0003168927874929895,3816.10855194,0.118,,,0.37,702.1618017,2.8072207000000002,31.04225731,54.73034286,10.713000300000001,36.46623993,15.9978199,0.6879299879999999,60.8,0.659228131
9.47,93783.44696,0.4949240260902304,27609.1666373,42877.3601699,7800.07599859,0.000312491311006944,7732.16638592,0.0508,0.742,0.0304,0.7829999999999999,8995.385465,,,,3.7809998989999998,99.88453674,94.84616852,17.01656914,76.8,0.728277442
3.3,1094444.93,3.480402518098012,213828.465121,266371.823518,136286.28821759994,0.0008224941428381426,42566.388895,0.104,0.581,0.0145,0.419,293.963946,,,,16.70299911,84.04164886,,,46.1,0.5568270129999999
2.34,1332514.88,16.9301492319631,331737.870033,319099.562218,137721.54393329998,0.0009600140776206537,81024.5928764,0.149,0.679,0.00384,0.5710000000000001,1574.598617,6.36888361,132.334137,62.47687912,3.010999918,109.85279080000001,41.50666046,,69.5,1.714972505
0.33,1020156.43,1.8096518803608428,200818.239979,201624.687715,119851.1167017,0.0002239518227399143,39799.4476524,0.0642,0.5,0.016,0.32799999999999996,427.2551787,,,,4.5180001260000004,55.15832901,14.01683998,,54.5,0.40139452200000003
9.15,1730288.539,0.20557585291899694,536147.12425,640673.393986,83188.11446119999,0.01419875240777161,108774.025295,0.13,0.83,0.0284,0.845,15753.64152,8.56466961,1935.2675780000002,36.87524414,9.994000435,97.83577728,100.8174896,85.31207275,79.3,0.426282155
,8654.759391,4.25961685588524,1746.36266584,3072.15297999,1535.297933972,0.0013941013780199108,593.303770652,0.0909,,,0.6970000000000001,4073.054182,4.6531105,222.0938568,41.70457077,,100.0637665,112.6295166,,74.0,0.530940366
1.81,82197.21844,0.2283890836770833,20505.2563034,23529.7990813,7821.71078121,0.002908230170569341,3208.42087973,0.0948,,0.0178,0.6659999999999999,1873.628398,,,,3.9079999919999997,106.94413759999999,,,66.9,1.462558504
1.09,45496.09057,1.0421323926613677,10966.984687,12708.5573082,4630.62804778,0.0010690228757574056,1632.14982604,0.199,,,0.486,947.4260545,10.78039742,80.12024689,2.25415611,2.1340000630000002,94.82241821,31.65480042,,61.2,2.311949485
